# MRF sequence pattern
# created: 2017-07-28T14:08:17.909000
# type: jiang
# length: 1000
# inv_delay (ms): 20.0
# min FA (ms): 0.0
# max FA (ms): 70.0
# min TR (ms): 16.0
# max TR (ms): 16.0
# min TE (ms): 5.5
# max TE (ms): 5.5
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
9.69,16.0,0.0,5.5
9.23,16.0,180.0,5.5
8.76,16.0,0.0,5.5
8.29,16.0,180.0,5.5
7.82,16.0,0.0,5.5
7.35,16.0,180.0,5.5
6.88,16.0,0.0,5.5
6.41,16.0,180.0,5.5
5.94,16.0,0.0,5.5
5.47,16.0,180.0,5.5
5.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
5.6,16.0,180.0,5.5
6.19,16.0,0.0,5.5
6.79,16.0,180.0,5.5
7.39,16.0,0.0,5.5
7.98,16.0,180.0,5.5
8.58,16.0,0.0,5.5
9.17,16.0,180.0,5.5
9.76,16.0,0.0,5.5
10.35,16.0,180.0,5.5
10.94,16.0,0.0,5.5
11.53,16.0,180.0,5.5
12.12,16.0,0.0,5.5
12.71,16.0,180.0,5.5
13.29,16.0,0.0,5.5
13.87,16.0,180.0,5.5
14.45,16.0,0.0,5.5
15.03,16.0,180.0,5.5
15.6,16.0,0.0,5.5
16.17,16.0,180.0,5.5
16.74,16.0,0.0,5.5
17.31,16.0,180.0,5.5
17.87,16.0,0.0,5.5
18.43,16.0,180.0,5.5
18.99,16.0,0.0,5.5
19.54,16.0,180.0,5.5
20.09,16.0,0.0,5.5
20.64,16.0,180.0,5.5
21.18,16.0,0.0,5.5
21.72,16.0,180.0,5.5
22.25,16.0,0.0,5.5
22.78,16.0,180.0,5.5
23.31,16.0,0.0,5.5
23.83,16.0,180.0,5.5
24.34,16.0,0.0,5.5
24.85,16.0,180.0,5.5
25.36,16.0,0.0,5.5
25.86,16.0,180.0,5.5
26.36,16.0,0.0,5.5
26.85,16.0,180.0,5.5
27.34,16.0,0.0,5.5
27.82,16.0,180.0,5.5
28.29,16.0,0.0,5.5
28.76,16.0,180.0,5.5
29.22,16.0,0.0,5.5
29.68,16.0,180.0,5.5
30.13,16.0,0.0,5.5
30.57,16.0,180.0,5.5
31.01,16.0,0.0,5.5
31.44,16.0,180.0,5.5
31.87,16.0,0.0,5.5
32.29,16.0,180.0,5.5
32.7,16.0,0.0,5.5
33.11,16.0,180.0,5.5
33.5,16.0,0.0,5.5
33.9,16.0,180.0,5.5
34.28,16.0,0.0,5.5
34.66,16.0,180.0,5.5
35.03,16.0,0.0,5.5
35.39,16.0,180.0,5.5
35.74,16.0,0.0,5.5
36.09,16.0,180.0,5.5
36.43,16.0,0.0,5.5
36.76,16.0,180.0,5.5
37.08,16.0,0.0,5.5
37.4,16.0,180.0,5.5
37.71,16.0,0.0,5.5
38.01,16.0,180.0,5.5
38.3,16.0,0.0,5.5
38.58,16.0,180.0,5.5
38.86,16.0,0.0,5.5
39.13,16.0,180.0,5.5
39.38,16.0,0.0,5.5
39.63,16.0,180.0,5.5
39.87,16.0,0.0,5.5
40.11,16.0,180.0,5.5
40.33,16.0,0.0,5.5
40.55,16.0,180.0,5.5
40.75,16.0,0.0,5.5
40.95,16.0,180.0,5.5
41.14,16.0,0.0,5.5
41.32,16.0,180.0,5.5
41.49,16.0,0.0,5.5
41.65,16.0,180.0,5.5
41.81,16.0,0.0,5.5
41.95,16.0,180.0,5.5
42.08,16.0,0.0,5.5
42.21,16.0,180.0,5.5
42.33,16.0,0.0,5.5
42.43,16.0,180.0,5.5
42.53,16.0,0.0,5.5
42.62,16.0,180.0,5.5
42.7,16.0,0.0,5.5
42.77,16.0,180.0,5.5
42.83,16.0,0.0,5.5
42.88,16.0,180.0,5.5
42.93,16.0,0.0,5.5
42.96,16.0,180.0,5.5
42.98,16.0,0.0,5.5
43.0,16.0,180.0,5.5
43.0,16.0,0.0,5.5
43.0,16.0,180.0,5.5
42.98,16.0,0.0,5.5
42.96,16.0,180.0,5.5
42.93,16.0,0.0,5.5
42.88,16.0,180.0,5.5
42.83,16.0,0.0,5.5
42.77,16.0,180.0,5.5
42.7,16.0,0.0,5.5
42.62,16.0,180.0,5.5
42.53,16.0,0.0,5.5
42.43,16.0,180.0,5.5
42.33,16.0,0.0,5.5
42.21,16.0,180.0,5.5
42.08,16.0,0.0,5.5
41.95,16.0,180.0,5.5
41.81,16.0,0.0,5.5
41.65,16.0,180.0,5.5
41.49,16.0,0.0,5.5
41.32,16.0,180.0,5.5
41.14,16.0,0.0,5.5
40.95,16.0,180.0,5.5
40.75,16.0,0.0,5.5
40.55,16.0,180.0,5.5
40.33,16.0,0.0,5.5
40.11,16.0,180.0,5.5
39.87,16.0,0.0,5.5
39.63,16.0,180.0,5.5
39.38,16.0,0.0,5.5
39.13,16.0,180.0,5.5
38.86,16.0,0.0,5.5
38.58,16.0,180.0,5.5
38.3,16.0,0.0,5.5
38.01,16.0,180.0,5.5
37.71,16.0,0.0,5.5
37.4,16.0,180.0,5.5
37.08,16.0,0.0,5.5
36.76,16.0,180.0,5.5
36.43,16.0,0.0,5.5
36.09,16.0,180.0,5.5
35.74,16.0,0.0,5.5
35.39,16.0,180.0,5.5
35.03,16.0,0.0,5.5
34.66,16.0,180.0,5.5
34.28,16.0,0.0,5.5
33.9,16.0,180.0,5.5
33.5,16.0,0.0,5.5
33.11,16.0,180.0,5.5
32.7,16.0,0.0,5.5
32.29,16.0,180.0,5.5
31.87,16.0,0.0,5.5
31.44,16.0,180.0,5.5
31.01,16.0,0.0,5.5
30.57,16.0,180.0,5.5
30.13,16.0,0.0,5.5
29.68,16.0,180.0,5.5
29.22,16.0,0.0,5.5
28.76,16.0,180.0,5.5
28.29,16.0,0.0,5.5
27.82,16.0,180.0,5.5
27.34,16.0,0.0,5.5
26.85,16.0,180.0,5.5
26.36,16.0,0.0,5.5
25.86,16.0,180.0,5.5
25.36,16.0,0.0,5.5
24.85,16.0,180.0,5.5
24.34,16.0,0.0,5.5
23.83,16.0,180.0,5.5
23.31,16.0,0.0,5.5
22.78,16.0,180.0,5.5
22.25,16.0,0.0,5.5
21.72,16.0,180.0,5.5
21.18,16.0,0.0,5.5
20.64,16.0,180.0,5.5
20.09,16.0,0.0,5.5
19.54,16.0,180.0,5.5
18.99,16.0,0.0,5.5
18.43,16.0,180.0,5.5
17.87,16.0,0.0,5.5
